year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,22,1659,1629,30,2021,1931,50,B6,369,N535JB,LGA,PBI,162,1035,16,29,2013-01-22T21:00:00Z
2013,1,22,1743,1745,-2,2107,2120,-13,AA,177,N319AA,JFK,SFO,362,2586,17,45,2013-01-22T22:00:00Z
2013,1,31,1955,1950,5,2332,2335,-3,B6,645,N643JB,JFK,SFO,360,2586,19,50,2013-02-01T00:00:00Z
2013,1,29,2012,2020,-8,2241,2245,-4,MQ,4662,N9EAMQ,LGA,ATL,114,762,20,20,2013-01-30T01:00:00Z
2013,1,4,1018,953,25,1119,1110,9,B6,600,N296JB,JFK,PWM,47,273,9,53,2013-01-04T14:00:00Z
2013,1,3,630,633,-3,801,803,-2,EV,4560,N33182,EWR,PIT,68,319,6,33,2013-01-03T11:00:00Z
2013,1,30,1649,1650,-1,1852,1826,26,UA,464,N845UA,EWR,ORD,120,719,16,50,2013-01-30T21:00:00Z
2013,1,4,1734,1729,5,2037,2049,-12,AA,543,N358AA,JFK,MIA,153,1089,17,29,2013-01-04T22:00:00Z
2013,1,14,1138,1140,-2,1455,1450,5,DL,930,N342NB,LGA,FLL,154,1076,11,40,2013-01-14T16:00:00Z
2013,1,6,1456,1500,-4,1655,1656,-1,US,720,N185UW,EWR,CLT,93,529,15,0,2013-01-06T20:00:00Z
2013,1,8,1708,1710,-2,1808,1820,-12,EV,4316,N12567,EWR,BWI,33,169,17,10,2013-01-08T22:00:00Z
2013,1,31,749,755,-6,1127,1110,17,AA,2267,N3GMAA,LGA,MIA,177,1096,7,55,2013-01-31T12:00:00Z
2013,1,19,1139,1145,-6,1331,1335,-4,MQ,4594,N840MQ,LGA,CLE,73,419,11,45,2013-01-19T16:00:00Z
2013,1,4,629,630,-1,717,740,-23,WN,4646,N357SW,LGA,BWI,37,185,6,30,2013-01-04T11:00:00Z
2013,1,25,1553,1555,-2,1835,1907,-32,DL,1695,N359NW,LGA,TPA,149,1010,15,55,2013-01-25T20:00:00Z
2013,1,30,1227,1200,27,1336,1305,31,US,2126,N944UW,LGA,BOS,50,184,12,0,2013-01-30T17:00:00Z
2013,1,15,1345,1350,-5,1710,1715,-5,US,688,N651AW,EWR,PHX,309,2133,13,50,2013-01-15T18:00:00Z
2013,1,11,1155,1200,-5,1431,1459,-28,UA,1461,N23708,EWR,IAH,195,1400,12,0,2013-01-11T17:00:00Z
2013,1,12,1544,1540,4,1841,1909,-28,DL,2027,N322US,JFK,FLL,144,1069,15,40,2013-01-12T20:00:00Z
2013,1,16,1635,1635,0,1813,1816,-3,UA,17,N36447,EWR,CLE,73,404,16,35,2013-01-16T21:00:00Z
2013,1,4,832,827,5,1130,1105,25,B6,611,N193JB,JFK,JAX,134,828,8,27,2013-01-04T13:00:00Z
2013,1,8,651,655,-4,905,927,-22,B6,117,N649JB,JFK,MSY,178,1182,6,55,2013-01-08T11:00:00Z
2013,1,22,1844,1729,75,2020,1902,78,EV,4480,N10156,EWR,PIT,61,319,17,29,2013-01-22T22:00:00Z
2013,1,11,1930,1928,2,2125,2129,-4,EV,4532,N11165,EWR,CHS,89,628,19,28,2013-01-12T00:00:00Z
2013,1,31,1049,1056,-7,1148,1207,-19,UA,570,N471UA,EWR,BOS,33,200,10,56,2013-01-31T15:00:00Z
2013,1,15,1025,1030,-5,1300,1252,8,DL,2343,N767NC,EWR,ATL,131,746,10,30,2013-01-15T15:00:00Z
2013,1,23,938,945,-7,1133,1130,3,AA,319,N484AA,LGA,ORD,137,733,9,45,2013-01-23T14:00:00Z
2013,1,2,1853,1900,-7,1959,2018,-19,US,2187,N957UW,LGA,DCA,48,214,19,0,2013-01-03T00:00:00Z
2013,1,20,1457,1500,-3,1813,1825,-12,AA,1925,N3GYAA,LGA,MIA,162,1096,15,0,2013-01-20T20:00:00Z
2013,1,17,825,830,-5,1022,1015,7,AA,313,N595AA,LGA,ORD,130,733,8,30,2013-01-17T13:00:00Z
2013,1,24,2043,2045,-2,2233,2225,8,AA,371,N4XFAA,LGA,ORD,136,733,20,45,2013-01-25T01:00:00Z
2013,1,18,927,929,-2,1424,1427,-3,B6,215,N592JB,EWR,SJU,207,1608,9,29,2013-01-18T14:00:00Z
2013,1,11,1502,1510,-8,1724,1745,-21,MQ,4309,N923MQ,JFK,IND,110,665,15,10,2013-01-11T20:00:00Z
2013,1,28,2054,2030,24,2227,2206,21,FL,354,N934AT,LGA,CAK,74,397,20,30,2013-01-29T01:00:00Z
2013,1,12,1007,1015,-8,1328,1340,-12,US,75,N678AW,EWR,PHX,305,2133,10,15,2013-01-12T15:00:00Z
2013,1,11,935,940,-5,1239,1250,-11,AA,1871,N3GNAA,LGA,MIA,153,1096,9,40,2013-01-11T14:00:00Z
2013,1,18,1131,1114,17,1347,1345,2,UA,1403,N35271,LGA,DEN,232,1620,11,14,2013-01-18T16:00:00Z
2013,1,21,730,730,0,1044,1045,-1,UA,10,N76514,LGA,IAH,235,1416,7,30,2013-01-21T12:00:00Z
2013,1,28,658,705,-7,924,1000,-36,UA,235,N426UA,EWR,MCO,129,937,7,5,2013-01-28T12:00:00Z
2013,1,4,1045,1050,-5,1349,1358,-9,B6,373,N779JB,LGA,FLL,162,1076,10,50,2013-01-04T15:00:00Z
2013,1,23,1447,1456,-9,1626,1624,2,9E,4357,N8525B,JFK,ORF,57,290,14,56,2013-01-23T19:00:00Z
2013,1,10,659,700,-1,1013,1015,-2,AA,2279,N3CHAA,LGA,MIA,145,1096,7,0,2013-01-10T12:00:00Z
2013,1,5,1427,1429,-2,1605,1639,-34,DL,1819,N332NW,LGA,MSP,146,1020,14,29,2013-01-05T19:00:00Z
2013,1,16,1409,1405,4,1719,1705,14,B6,63,N663JB,JFK,TPA,159,1005,14,5,2013-01-16T19:00:00Z
2013,1,10,1346,1345,1,1632,1656,-24,B6,83,N632JB,JFK,SEA,321,2422,13,45,2013-01-10T18:00:00Z
2013,1,20,743,745,-2,1223,1234,-11,UA,1481,N57857,EWR,SJU,204,1608,7,45,2013-01-20T12:00:00Z
2013,1,30,2006,1815,111,2247,2130,77,AS,7,N589AS,EWR,SEA,314,2402,18,15,2013-01-30T23:00:00Z
2013,1,29,942,945,-3,1056,1135,-39,WN,469,N242WN,LGA,BNA,116,764,9,45,2013-01-29T14:00:00Z
2013,1,13,1353,1350,3,1730,1715,15,US,186,N652AW,EWR,PHX,319,2133,13,50,2013-01-13T18:00:00Z
2013,1,8,729,735,-6,1034,1047,-13,B6,341,N583JB,JFK,SRQ,157,1041,7,35,2013-01-08T12:00:00Z
2013,1,29,NA,834,NA,NA,1039,NA,EV,4250,N13958,EWR,GRR,NA,605,8,34,2013-01-29T13:00:00Z
2013,1,21,1724,1720,4,1912,1915,-3,AA,1351,N3CUAA,JFK,ORD,126,740,17,20,2013-01-21T22:00:00Z
2013,1,24,1646,1650,-4,1809,1826,-17,UA,464,N822UA,EWR,ORD,127,719,16,50,2013-01-24T21:00:00Z
2013,1,24,1052,1056,-4,1146,1207,-21,UA,570,N402UA,EWR,BOS,38,200,10,56,2013-01-24T15:00:00Z
2013,1,24,1427,1429,-2,1816,1754,22,UA,257,N510UA,JFK,SFO,387,2586,14,29,2013-01-24T19:00:00Z
2013,1,23,829,830,-1,1140,1143,-3,UA,561,N570UA,EWR,FLL,167,1065,8,30,2013-01-23T13:00:00Z
2013,1,20,858,900,-2,1119,1146,-27,DL,1747,N554NW,LGA,ATL,118,762,9,0,2013-01-20T14:00:00Z
2013,1,10,1540,1540,0,1906,1900,6,UA,161,N41140,JFK,LAX,351,2475,15,40,2013-01-10T20:00:00Z
2013,1,16,1829,1730,59,2117,2023,54,UA,1637,N14228,EWR,TPA,144,997,17,30,2013-01-16T22:00:00Z
2013,1,1,629,630,-1,824,833,-9,US,1019,N426US,EWR,CLT,91,529,6,30,2013-01-01T11:00:00Z
2013,1,17,1320,1303,17,1438,1424,14,B6,32,N317JB,JFK,ROC,60,264,13,3,2013-01-17T18:00:00Z
2013,1,29,1641,1645,-4,1945,2005,-20,AA,181,N328AA,JFK,LAX,342,2475,16,45,2013-01-29T21:00:00Z
2013,1,9,1245,1240,5,1602,1540,22,AA,1853,N515AA,EWR,DFW,222,1372,12,40,2013-01-09T17:00:00Z
2013,1,27,1635,1610,25,1837,1800,37,AA,341,N492AA,LGA,ORD,138,733,16,10,2013-01-27T21:00:00Z
2013,1,9,1008,1015,-7,1314,1340,-26,US,75,N652AW,EWR,PHX,290,2133,10,15,2013-01-09T15:00:00Z
2013,1,19,803,810,-7,1031,1041,-10,DL,269,N320NB,JFK,ATL,115,760,8,10,2013-01-19T13:00:00Z
2013,1,13,1719,1725,-6,2025,2050,-25,UA,512,N518UA,JFK,SFO,348,2586,17,25,2013-01-13T22:00:00Z
2013,1,22,1739,1725,14,2027,2023,4,UA,1134,N41135,EWR,IAH,202,1400,17,25,2013-01-22T22:00:00Z
2013,1,8,1704,1705,-1,2036,2013,23,UA,990,N456UA,LGA,IAH,231,1416,17,5,2013-01-08T22:00:00Z
2013,1,30,1745,1708,37,2038,2024,14,UA,250,N812UA,EWR,LAX,331,2454,17,8,2013-01-30T22:00:00Z
2013,1,30,812,810,2,926,925,1,AA,1838,N3EEAA,JFK,BOS,42,187,8,10,2013-01-30T13:00:00Z
2013,1,14,834,835,-1,1206,1215,-9,UA,1480,N17244,EWR,SFO,364,2565,8,35,2013-01-14T13:00:00Z
2013,1,10,1706,1700,6,1944,1943,1,DL,1499,N655DL,LGA,ATL,115,762,17,0,2013-01-10T22:00:00Z
2013,1,12,1137,1145,-8,1307,1321,-14,FL,353,N953AT,LGA,CAK,63,397,11,45,2013-01-12T16:00:00Z
2013,1,26,2130,2125,5,2245,2240,5,MQ,4449,N815MQ,JFK,DCA,50,213,21,25,2013-01-27T02:00:00Z
2013,1,12,1656,1540,76,1829,1742,47,9E,3523,N926XJ,JFK,ORD,124,740,15,40,2013-01-12T20:00:00Z
2013,1,25,631,635,-4,900,939,-39,UA,1627,N27722,EWR,PBI,133,1023,6,35,2013-01-25T11:00:00Z
2013,1,15,700,700,0,1015,1027,-12,B6,671,N793JB,JFK,LAX,336,2475,7,0,2013-01-15T12:00:00Z
2013,1,22,1000,959,1,1129,1122,7,EV,5736,N909EV,LGA,IAD,49,229,9,59,2013-01-22T14:00:00Z
2013,1,8,609,610,-1,801,817,-16,DL,1919,N361NW,LGA,MSP,153,1020,6,10,2013-01-08T11:00:00Z
2013,1,1,2016,1930,46,NA,2220,NA,EV,4204,N14168,EWR,OKC,NA,1325,19,30,2013-01-02T00:00:00Z
2013,1,8,1411,1415,-4,1510,1526,-16,B6,1010,N351JB,JFK,BOS,37,187,14,15,2013-01-08T19:00:00Z
2013,1,25,2254,2100,114,323,31,172,DL,2363,N723TW,JFK,LAX,367,2475,21,0,2013-01-26T02:00:00Z
2013,1,30,1348,1325,23,1818,1810,8,B6,705,N649JB,JFK,SJU,190,1598,13,25,2013-01-30T18:00:00Z
2013,1,9,743,745,-2,1217,1234,-17,UA,1481,N77871,EWR,SJU,191,1608,7,45,2013-01-09T12:00:00Z
2013,1,31,2310,2105,125,27,2217,130,EV,4119,N16919,EWR,RIC,55,277,21,5,2013-02-01T02:00:00Z
2013,1,11,1925,1920,5,2254,2258,-4,DL,6,N3762Y,JFK,SLC,288,1990,19,20,2013-01-12T00:00:00Z
2013,1,23,1659,1635,24,1751,1750,1,B6,1176,N239JB,EWR,BOS,38,200,16,35,2013-01-23T21:00:00Z
2013,1,5,1355,1400,-5,1616,1636,-20,DL,2247,N521US,LGA,ATL,119,762,14,0,2013-01-05T19:00:00Z
2013,1,17,1352,1400,-8,1446,1503,-17,US,2130,N946UW,LGA,BOS,34,184,14,0,2013-01-17T19:00:00Z
2013,1,11,1439,1440,-1,1724,1752,-28,UA,1175,N73291,EWR,RSW,151,1068,14,40,2013-01-11T19:00:00Z
2013,1,4,1526,1530,-4,1740,1737,3,US,1665,N723UW,LGA,CLT,100,544,15,30,2013-01-04T20:00:00Z
2013,1,7,1324,1322,2,1631,1624,7,B6,431,N504JB,LGA,SRQ,153,1047,13,22,2013-01-07T18:00:00Z
2013,1,31,1439,1440,-1,1610,1614,-4,UA,1567,N76269,EWR,CLE,69,404,14,40,2013-01-31T19:00:00Z
2013,1,11,2036,2040,-4,2333,2359,-26,B6,165,N623JB,JFK,PDX,335,2454,20,40,2013-01-12T01:00:00Z
2013,1,25,556,600,-4,754,801,-7,EV,4911,N752EV,EWR,DTW,89,488,6,0,2013-01-25T11:00:00Z
