split,K,TP,FP,TN,FN,seed
learning,1,40,0,1080,0,1
test,1,3,15,374,8,1
validation,1,6,9,452,13,1
learning,2,30,12,1068,10,1
test,2,3,13,376,8,1
validation,2,7,8,453,12,1
learning,3,23,9,1071,17,1
test,3,3,4,385,8,1
validation,3,5,5,456,14,1
learning,4,20,12,1068,20,1
test,4,2,5,384,9,1
validation,4,5,2,459,14,1
learning,5,18,5,1075,22,1
test,5,2,6,383,9,1
validation,5,5,3,458,14,1
learning,6,20,6,1074,20,1
test,6,2,4,385,9,1
validation,6,6,2,459,13,1
learning,7,18,6,1074,22,1
test,7,2,5,384,9,1
validation,7,5,2,459,14,1
learning,8,18,6,1074,22,1
test,8,2,5,384,9,1
validation,8,6,3,458,13,1
learning,9,19,5,1075,21,1
test,9,2,4,385,9,1
validation,9,5,3,458,14,1
learning,10,18,6,1074,22,1
test,10,2,5,384,9,1
validation,10,5,1,460,14,1
learning,11,18,6,1074,22,1
test,11,2,4,385,9,1
validation,11,5,1,460,14,1
learning,12,16,4,1076,24,1
test,12,2,4,385,9,1
validation,12,4,2,459,15,1
learning,13,17,4,1076,23,1
test,13,2,2,387,9,1
validation,13,4,1,460,15,1
learning,14,16,4,1076,24,1
test,14,2,2,387,9,1
validation,14,5,0,461,14,1
learning,15,15,4,1076,25,1
test,15,2,2,387,9,1
validation,15,5,0,461,14,1
learning,16,16,3,1077,24,1
test,16,2,1,388,9,1
validation,16,4,3,458,15,1
learning,17,13,4,1076,27,1
test,17,2,2,387,9,1
validation,17,4,2,459,15,1
learning,18,13,4,1076,27,1
test,18,2,2,387,9,1
validation,18,4,1,460,15,1
learning,19,13,3,1077,27,1
test,19,2,2,387,9,1
validation,19,4,1,460,15,1
learning,20,14,3,1077,26,1
test,20,2,2,387,9,1
validation,20,4,2,459,15,1
