year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2006,18,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.31806333496276
2004,24,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.185241685198245
2003,45,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.8750612633917
2003,43,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9058045950183775
2005,50,4. Divorced,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.221807164176544
2008,54,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740253237103853
2009,44,2. Married,4. Other,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.13302127864665
2008,30,1. Never Married,3. Asian,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7160033436348
2006,41,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2004,52,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.939436120045804
2007,45,4. Divorced,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7634279935629404
2007,34,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.394522377187859
2005,35,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6749895766196365
2003,39,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.052833127681704
2009,54,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.917601733851593
2009,51,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50514997831991
2003,37,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.5575553345890585
2006,50,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.36055176170483
2007,56,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.759313773248188
2003,37,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.5910646070265
2003,38,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.30102999566398
2005,40,4. Divorced,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.9958153085937895
2009,75,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.116069302624875
2007,40,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.154839684541179
2006,38,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.728570592741233
2005,49,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62618633492728
2006,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.382575377368933
2004,34,2. Married,4. Other,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.344013507483319
2008,57,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.727937911398064
2003,18,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.052657236395124
2004,55,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27646180417324
2005,51,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.61909333062674
2008,33,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204
2005,34,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.925615524161737
2006,36,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.619127401393368
2003,56,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.47712125471966
2006,70,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.476903673776739
2004,25,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.570413379775917
2006,32,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.66275783168157
2003,27,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.19312459835446
2004,28,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.3843934413724686
2007,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.534510994215365
2004,43,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.81291335664286
2005,50,1. Never Married,4. Other,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.30102999566398
