LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,STATUS
1100,25860,39025,HomeImp,Other,10.5,0,0,94.366666667,1,9,NA,bad
1300,70053,68400,HomeImp,Other,7,0,2,121.83333333,0,14,NA,bad
1500,13500,16700,HomeImp,Other,4,0,0,149.46666667,1,10,NA,bad
1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bad
1700,30548,40320,HomeImp,Other,9,0,0,101.46600191,1,8,37.113613558,bad
1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,NA,bad
1800,28502,43034,HomeImp,Other,11,0,0,88.766029879,0,8,36.884894093,bad
2000,32700,46740,HomeImp,Other,3,0,2,216.93333333,1,12,NA,bad
2000,NA,62250,HomeImp,Sales,16,0,0,115.8,0,13,NA,bad
2000,22608,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,bad
2000,20627,29800,HomeImp,Office,11,0,1,122.53333333,1,9,NA,bad
2000,45000,55000,HomeImp,Other,3,0,0,86.066666667,2,25,NA,bad
2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,NA,bad
2200,24280,34687,HomeImp,Other,NA,0,1,300.86666667,0,8,NA,bad
2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,NA,bad
2200,23030,NA,NA,NA,19,NA,NA,NA,NA,NA,3.7113122995,bad
2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,NA,bad
2300,37626,46200,HomeImp,Other,3,0,1,122.26666667,1,14,NA,bad
2400,50000,73395,HomeImp,ProfExe,5,1,0,NA,1,0,NA,bad
2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,NA,bad
2400,18000,NA,HomeImp,Mgr,22,NA,2,121.73333333,0,10,NA,bad
2400,NA,17180,HomeImp,Other,NA,0,0,14.566666667,3,4,NA,bad
2400,34863,47471,HomeImp,Mgr,12,0,0,70.491080032,1,21,38.263600731,bad
2500,15000,20200,HomeImp,NA,18,0,0,136.06666667,1,19,NA,bad
2500,25116,36350,HomeImp,Other,10,1,2,276.96666667,0,9,NA,bad
2800,50795,63100,HomeImp,Self,26,2,15,145.63333333,3,45,NA,bad
2800,4000,60850,HomeImp,Other,16,4,0,112.63333333,2,9,NA,bad
2900,78600,113000,DebtCon,ProfExe,6,1,0,165.33333333,2,26,NA,bad
2900,7750,67996,HomeImp,Other,16,3,0,122.20466276,2,8,36.211347998,bad
2900,61962,70915,DebtCon,Mgr,2,0,0,282.80165924,3,37,49.20639579,bad
3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,NA,bad
3000,NA,8800,HomeImp,Other,2,0,1,77.766666667,0,3,NA,bad
3000,NA,33000,HomeImp,Other,1,0,1,23.3,1,2,NA,bad
3000,119826,193500,HomeImp,Other,8,0,0,130.03335846,0,27,NA,bad
3000,20000,29750,DebtCon,Other,2,0,0,187.06666667,0,12,NA,bad
3000,NA,14500,HomeImp,Other,3,0,0,9.3,14,2,NA,bad
3000,NA,14100,HomeImp,Other,1,0,0,104.2,0,19,NA,bad
3000,47000,82700,HomeImp,ProfExe,10,0,1,262.16666667,5,26,NA,bad
3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.366666667,0,10,NA,bad
3100,39589,36100,HomeImp,Other,1.5,0,0,153.16666667,1,14,NA,bad
3200,48603,61000,HomeImp,ProfExe,28,0,4,122.03333333,1,25,NA,bad
3200,27200,40834,HomeImp,Other,NA,0,0,298.13156403,0,7,35.553538789,bad
3200,54000,64850,HomeImp,Other,1,0,0,121.86666667,3,21,NA,bad
3200,23159,NA,HomeImp,Mgr,20,NA,2,117.80574784,0,9,0.5244992154,bad
3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,NA,bad
3300,130518,164317,DebtCon,Other,9,0,6,192.28914897,0,33,35.73055919,bad
3400,37000,52000,HomeImp,Office,2,0,1,183.29991561,0,6,NA,bad
3500,23200,38666,HomeImp,Other,11,0,0,162.36666667,0,14,NA,bad
3500,19400,20494,HomeImp,Other,5,0,0,95.933333333,0,9,NA,bad
3600,61584,61800,HomeImp,ProfExe,10,NA,NA,NA,NA,NA,NA,bad
3600,41900,52490,HomeImp,Mgr,3,0,0,72.033333333,2,4,NA,bad
3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,NA,bad
3700,17857,21144,HomeImp,Other,5,0,0,129.71732313,1,9,26.634347518,bad
3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.63333333,1,25,NA,bad
3900,29896,45960,HomeImp,Other,11,0,0,146.12324219,0,14,24.478881191,bad
3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,NA,bad
3900,21200,39000,DebtCon,Mgr,4,0,1,86.566666667,2,14,NA,bad
4000,NA,80609,HomeImp,Other,1.5,0,2,126.53333333,3,12,NA,bad
4000,26572,31960,HomeImp,Office,11,0,0,117.79510387,0,8,41.286491948,bad
4000,17000,52012,HomeImp,ProfExe,22,3,1,85.333333333,1,9,NA,bad
4000,29562,37200,DebtCon,Other,6,0,0,92.133333333,1,26,NA,bad
4000,41700,76725,HomeImp,Other,0.5,0,3,136.13333333,0,15,NA,bad
4000,58000,69440,HomeImp,Other,3.5,0,1,168.66666667,0,18,NA,bad
4000,5700,18000,DebtCon,Other,NA,0,0,12.2,0,17,NA,bad
4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,NA,bad
4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,NA,bad
4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.63333333,NA,9,NA,bad
4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,NA,bad
4100,NA,19132,HomeImp,Other,0,0,0,100.77465221,0,19,33.840919904,bad
4100,58500,65000,HomeImp,Other,8,1,2,63.933333333,2,15,NA,bad
4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,NA,bad
4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.158084834,bad
4500,39000,66000,HomeImp,Other,1,0,0,170.36666667,1,19,NA,bad
4500,57000,NA,HomeImp,Other,5,NA,NA,222.6,1,13,NA,bad
4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,NA,bad
4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,NA,bad
4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.86666667,1,20,NA,bad
4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,NA,bad
4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,NA,bad
4700,26900,45000,HomeImp,ProfExe,9,1,2,90.466666667,1,16,NA,bad
4900,25597,23031,HomeImp,Other,5,0,0,101.74676644,0,8,33.243156978,bad
4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,NA,bad
4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.590910018,bad
5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,NA,bad
5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.766666667,2,8,NA,bad
5000,100882,102700,HomeImp,Mgr,5,0,1,58.866666667,0,16,NA,bad
5000,31000,47350,HomeImp,ProfExe,12,NA,NA,NA,NA,NA,NA,bad
5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,NA,bad
5000,100000,129693.5,HomeImp,Mgr,13,NA,NA,NA,NA,NA,NA,bad
5000,NA,132000,HomeImp,Other,17.5,0,2,121.9,0,14,NA,bad
5000,NA,9100,HomeImp,Other,1,0,0,54.733333333,2,8,NA,bad
5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,NA,bad
5000,NA,71277,HomeImp,Other,10,0,0,72.433333333,1,12,NA,bad
5000,123000,157500,HomeImp,Mgr,9,NA,NA,NA,NA,NA,NA,bad
5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,NA,bad
5000,NA,52000,HomeImp,Other,NA,0,1,285.33333333,0,6,NA,bad
5000,22700,34225,HomeImp,Other,4,0,0,74.633333333,3,9,NA,bad
5000,6000,38575,HomeImp,Self,7,0,1,335.03333333,3,42,NA,bad
5000,NA,74500,HomeImp,Other,19,NA,NA,NA,NA,NA,NA,bad
5000,NA,94119,HomeImp,Other,19,NA,NA,NA,NA,NA,NA,bad
5000,NA,37500,HomeImp,Other,NA,0,3,107.13333333,10,5,NA,bad
5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,NA,bad
5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,NA,bad
5000,85165,107940,HomeImp,Mgr,6,5,3,122.76666667,5,28,NA,bad
5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.86666667,0,30,NA,bad
5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.133333333,0,13,NA,bad
5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,NA,bad
5000,40000,32480,HomeImp,Other,8,3,2,163.36666667,1,16,NA,bad
5000,81748,NA,DebtCon,ProfExe,14,1,2,144.06666667,2,17,NA,bad
