LOAN,MORTDUE,VALUE,REASON,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,STATUS
1700,30548,40320,HomeImp,9,0,0,101.46600191,1,8,37.113613558,0
1800,28502,43034,HomeImp,11,0,0,88.766029879,0,8,36.884894093,0
2400,34863,47471,HomeImp,12,0,0,70.491080032,1,21,38.263600731,0
2900,7750,67996,HomeImp,16,3,0,122.20466276,2,8,36.211347998,0
2900,61962,70915,DebtCon,2,0,0,282.80165924,3,37,49.20639579,0
3300,130518,164317,DebtCon,9,0,6,192.28914897,0,33,35.73055919,0
3700,17857,21144,HomeImp,5,0,0,129.71732313,1,9,26.634347518,0
3900,29896,45960,HomeImp,11,0,0,146.12324219,0,14,24.478881191,0
4000,26572,31960,HomeImp,11,0,0,117.79510387,0,8,41.286491948,0
4400,53091,64074,DebtCon,14,1,3,89.86105825,0,17,39.158084834,0
4900,25597,23031,HomeImp,5,0,0,101.74676644,0,8,33.243156978,0
4900,65576,65774,HomeImp,6,1,2,61.64250608,1,14,40.590910018,0
5000,46696,85202,HomeImp,2,1,2,148.34064549000001,0,14,46.489874001,0
5100,129319,141875,HomeImp,7,1,0,157.85980209,0,36,25.650741224,0
5200,40564,39527,HomeImp,0,0,0,157.77103572,1,13,72.670433313,0
5500,40584,46645,HomeImp,4,0,1,136.32063746,0,13,34.494708965,0
5500,37368,48502,HomeImp,9,0,2,48.995845002,0,10,33.126483967,0
5500,85845,122205,DebtCon,5,0,0,172.21327665,1,26,32.676640875,0
5700,77213,92661,DebtCon,0,0,0,97.133170952,1,16,41.777888631,0
5700,74172,79846,DebtCon,0,0,0,157.00977472,0,28,47.415228659,0
5800,27791,46833,DebtCon,3,0,0,83.289062746,1,13,30.187805389,0
5900,25972,41856,DebtCon,2,0,2,157.96001139,3,27,40.628278175,0
6100,62751,95617,HomeImp,1,0,0,138.64686318,1,13,31.757270694,0
6300,12476,32559,HomeImp,12,3,6,227.12990511,0,23,23.31951678,0
6500,60054,70434,HomeImp,1,0,0,127.06270157,2,21,37.800352933,0
6500,183860,208910,DebtCon,4,6,0,86.452226941,6,29,69.8005248,0
6700,60301,70543,HomeImp,5,0,0,195.78086332,0,19,32.397593406,0
6700,27510,42495,DebtCon,2,0,2,171.52648922,3,27,41.428597508,0
6900,53328,58088,DebtCon,2,0,0,101.5319079,0,21,35.764058362,0
6900,57257,63752,DebtCon,10,2,0,138.23477796,0,22,38.372460882,0
7200,15637,39660,HomeImp,6,0,1,354.23976343,3,42,33.624133446,0
7400,71576,89068,DebtCon,0,0,0,94.782230694,0,17,42.803421995,0
7500,32070,36811,DebtCon,1,1,0,228.03600011,0,6,30.162214113,0
7500,12115,35910,HomeImp,13,3,6,234.90075082,0,24,24.662276673,0
7900,67222,75189,HomeImp,4,0,0,95.676872691,0,23,36.97971203,0
7900,55383,70020,DebtCon,12,2,0,80.778941503,10,8,44.858977324,0
8000,49685,81020,HomeImp,2,0,3,129.3624659,0,15,47.000975215,0
8000,32100,36739,HomeImp,4,0,0,79.458845053,2,8,31.276715679,0
8000,92487,113947,DebtCon,8,0,3,151.81738872,0,19,26.457524449,0
8100,19772,39431,DebtCon,0,0,1,82.335287775,1,12,20.342467722,0
8100,28523,39816,DebtCon,5,0,0,130.64393328,0,16,37.393526416,0
8200,87979,94854,HomeImp,10,0,0,108.47902378,3,19,41.270682597,0
8400,48032,95213,HomeImp,5,1,4,326.67959049,0,30,38.191681736,0
8400,37256,45956,DebtCon,1,0,0,214.44323,1,6,31.24524851,0
8600,36933,42289,DebtCon,4,0,0,100.61642113,2,26,38.436490085,0
8600,44992,66403,DebtCon,8,0,0,172.55155504,1,27,43.875610821,0
8700,57141,70244,HomeImp,8,0,0,106.85542816,0,19,31.891314262,0
8800,33395,51057,DebtCon,2,0,0,80.822479691,1,20,16.883031014,0
8800,32169,37533,DebtCon,3,0,0,74.449294767,3,19,25.34174093,0
8900,62733,77741,DebtCon,8,0,0,68.890096166,3,17,37.773300594,0
8900,64343,84013,DebtCon,4,0,0,39.221719253,0,12,35.788437459,0
8900,133847,157399,HomeImp,17,0,2,70.884144094,0,12,34.702330738,0
8900,147801,157335,HomeImp,4,0,0,85.574865756,4,21,34.756560384,0
9000,90969,108606,HomeImp,5,5,2,113.25750907,5,28,27.34759661,0
9000,52311,68994,DebtCon,0,0,1,137.78400363,0,9,28.454712858,0
9000,52257,58275,DebtCon,5,0,0,80.251800985,0,21,34.144725947,0
9000,31896,46195,HomeImp,25,0,2,122.38915525,3,16,36.681652146,0
9100,17218,36721,DebtCon,8,0,1,115.75209332,3,5,37.479410286,0
9100,28550,40300,HomeImp,5,0,0,109.53563552,7,33,23.082905342,0
9300,84900,105798,DebtCon,2,0,0,41.807204596,1,3,26.956697896,0
9300,38115,60493,DebtCon,14,0,0,91.932632264,0,18,29.633608474,0
9400,52024,89107,HomeImp,0,1,0,148.84473761,3,26,36.080031774,0
9500,36114,45654,DebtCon,0,0,0,83.333291772,0,9,25.343478449,0
9500,54612,68759,HomeImp,9,0,0,89.102838608,0,19,31.353906936,0
9600,42357,99756,HomeImp,4,1,4,354.65022495,0,30,36.525172928,0
9700,32660,54536,DebtCon,0,0,0,156.4821057,0,13,67.32490355,0
9900,88236,104953,DebtCon,1,0,0,51.648705242,0,2,28.622632092,0
9900,71371,84865,DebtCon,0,2,0,94.805235749,0,12,38.211305102,0
9900,23767,39293,DebtCon,5,1,0,145.76577376,0,9,24.605128805,0
9900,59206,75690,HomeImp,6,0,2,288.39505854,1,19,30.776027864,0
10000,34350,54146,DebtCon,3,0,0,144.42288892,0,18,31.539013395,0
10200,69116,105228,HomeImp,12,0,8,122.84395119,0,36,36.122885906,0
10200,29581,39992,DebtCon,3,0,0,149.87462567,2,26,43.197242061,0
10300,70147,122124,HomeImp,1,0,0,58.895685895,0,7,57.995018623,0
10400,42714,72322,DebtCon,12,0,0,105.07480159,6,15,41.262353472,0
10500,57880,66802,DebtCon,2,0,0,94.598425262,8,21,45.464765837,0
10500,55267,65160,DebtCon,1,0,0,108.27542318,8,22,47.079285365,0
10600,61294,82646,DebtCon,5,0,4,87.859169291,2,13,36.395148149,0
10700,55043,68609,DebtCon,2,0,0,46.272175955,1,17,25.448844532,0
10800,64305,107374,DebtCon,9,0,0,97.861325762,0,36,36.996385659,0
10900,49352,56529,DebtCon,7,0,1,78.833617625,2,23,36.174955236,0
11000,60513,110485,DebtCon,3,1,1,126.77192888,1,17,40.031393322,0
11000,77517,86214,HomeImp,2,2,0,352.37913787,0,28,28.030214206,0
11000,85008,73223,HomeImp,7,0,2,197.12004536,0,23,41.441052018,0
11200,56877,65125,HomeImp,6,2,0,12.176928574,0,1,33.241218883,0
11200,68990,81922,DebtCon,12,0,1,120.88581123,2,23,43.159875329,0
11300,62568,79009,HomeImp,4,0,3,295.33466966,0,19,28.600252229,0
11600,57939,69774,DebtCon,5,0,0,91.99164592,0,12,72.264093333,0
11700,54085,68239,HomeImp,2,1,2,8.0552650769,3,15,32.012658582,0
11700,63914,93707,DebtCon,7,3,0,162.57983695,2,51,69.480650392,0
11800,67678,108092,HomeImp,13,0,7,126.65823161,0,36,37.162689687,0
11900,108763,128780,DebtCon,8,0,0,60.377932903,3,21,49.418114378,0
11900,29822,48574,DebtCon,13,0,0,132.4016914,0,4,36.611156973,0
12000,76345,89036,HomeImp,8,0,0,91.97034976,1,19,50.173065029,0
12000,48189,53969,DebtCon,5,0,0,276.38174269,0,18,65.495243152,0
12200,53242,70400,DebtCon,14,0,0,169.93066352,0,18,34.629427656,0
12300,24552,48278,DebtCon,0,0,0,171.07510456,0,16,29.299550944,0
12300,48238,66603,HomeImp,6,0,1,80.38898294,1,11,40.01910455,0
12300,64265,90956,DebtCon,10,0,1,233.15612479,0,32,32.908823864,0
12400,45604,65501,DebtCon,9,0,1,70.337530564,1,24,35.212181264,0
12400,57105,74582,DebtCon,12,0,0,134.03176787,0,20,36.925736414,0
12400,50573,84008,DebtCon,15,1,0,76.042086926,0,7,41.027966747,0
